Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Consruction of 197 Bus-Q-Shelters in NDMC area,Transport,Urban public transport (except rolling stock),Delhi (UT),Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),197 Bus-Q-Shellters at various locations in Delhi,Not Available,State,180,27-Sep-2015,New Delhi Municipal Council,M/s JC Decaux Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,15.00,Not Available,Not Available,Not Available
Delhi-Noida Toll Bridge,Transport,Roads and bridges,Delhi (UT),Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),"The project includes 8-lane, 552.5 m long, 222,000 vehicles per day capacity toll bridge across river Yamuna, along with approach roads. The bridge will connect the national capital of Delhi with its satellite township of Noida",0.55525 KM (Kilometer),State,360,27-Sep-2015,New Okhla Industrial Development Authority (NOIDA),Noida Toll Bridge Coompany Ltd. (NTBCL),Not Available,12-Nov-1997,01-Dec-1998,30-Dec-1998,01-May-2001,07-Feb-2001,01-May-2001,07-Feb-2001,11-Nov-2027,Not Applicable,Not Available,,0.00,408.20,Not Available,Not Available,Not Available
Development of Bypass Roads for Sandur Town Bellary district Under Direct Tolling System,Transport,Roads and bridges,Karnataka,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project entails the development of bypass road to Sandur Town, which will help in diverting the heavy iron ore traffic moving from mines situated in and around Sandur, away from the town. The Sandur Bypass will be a 2-lane road with Earthen Shoulders on either side having three sections i.e. ?Eastern Section? (8.583 km), ?Northern Section? (6.943 km) and ?Bhujanganagar Bypass? (0.072 km).",16.5 KM (Kilometer),State,240,27-Sep-2015,"Public Works, Ports and Inland Water Transport Department, Karnataka",DS Construction Limited,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,40.00,Not Available,Not Available,Not Available
"Development of Industrial Park, Gurgaon",Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Haryana,Operation and Maintenance Stage,Not Available,The project involved development of Industrial Park in Sector 33-34 Gurgaon,Not Available,State,Not Available,27-Sep-2015,Haryana Urban Development Authority,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,60.00,Not Available,Not Available,Not Available
Improvement to Putaspanga Bamberi Road,Transport,Roads and bridges,Odisha,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),This project involves improvement to Putaspanga Bamberi Road on BOT basis,Not Available,State,120,27-Sep-2015,"Public Works Department, Odisha",Keonjhar Infrastructure Development company Ltd (KIDCOL),Not Available,01-Apr-2006,Not Available,Not Available,01-Apr-2007,Not Available,01-Apr-2007,Not Available,31-Mar-2016,Not Applicable,Not Available,,0.00,68.00,Not Available,Not Available,Not Available
Integrated Solid Waste Management at Koyambedu wholesale market complex,Water Sanitation,Solid waste management,Tamil Nadu,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),"Generate 150 TPD from Collection, Segregation,and Development of Transfer Station, Rehabilisation and operation of  Bio Methenation, Developing  and operation of Waste Processing Facility, and waste disposal to Kodungaiyur landfill",150.0 TPD (Tonne per day),State,144,27-Sep-2015,Chennai Metropolitan Development Authority,Ramky Enviro Engineers Ltd. (REEL) & Ramky Energy and Environment Ltd. (REnEL),Not Available,04-Nov-2009,Not Available,Not Available,04-May-2010,Not Available,04-May-2010,Not Available,Not Available,Not Applicable,Not Available,,0.00,10.50,Not Available,Not Available,Not Available
Municipal Solid Waste to Energy in Hyderabad,Water Sanitation,Solid waste management,Telangana,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),Municipal Solid Waste to Energy in Hyderabad,6.6 MW (Mega Watt),State,360,27-Sep-2015,Greater Hyderabad Municipal Corporation,SELCO International Limited,Not Available,16-Jun-2008,Not Available,Not Available,Not Available,12-Dec-2008,Not Available,12-Dec-2008,Not Available,Not Applicable,Not Available,,0.00,34.00,Not Available,Not Available,Not Available
Road Upgradation (Jalna-Watur) Project,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four laning of Jalna-Watur Road (MSH-6),45.3 KM (Kilometer),State,360,27-Sep-2015,"Public Works Department, Maharashtra",Kalyan Toll Infrastructure Limited (SPV of Keti Construction (India),Concession Duration,Not Available,Not Available,20-Nov-2009,20-May-2011,30-Mar-2011,20-May-2011,20-May-2011,19-Nov-2039,Not Applicable,Not Available,Construction Grant,38.80,100.05,Not Available,100.05,Not Available
Trivandrum City Road Improvement Project,Transport,Roads and bridges,Kerala,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,"Widening and strenthening  roads of 42 .537kms ( Which include ten city road corridars, three national High ways Byepass, Under pass and two Bridges)",42.37 KM (Kilometer),State,210,27-Sep-2015,Kerala Road Fund Board,TRDCL ( Concessionaire ) IL&FSTransportion Network  Ltd.- Punjlloyd Limited - Consortium,Not Available,16-Mar-2004,16-May-2004,16-May-2004,16-Nov-2006,Not Available,16-Nov-2006,Not Available,16-Sep-2021,Not Applicable,Not Available,,0.00,347.00,Not Available,Not Available,Not Available
Widening & Strengthening of Sri Ganga Nagar - Hanumangarh road,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"Widening & Strengthening of Sri Ganga Nagar - Hanumangarh road [Sh - 36, Km 1/500 to 56/0]",54.5 KM (Kilometer),State,120,27-Sep-2015,"Public Works Department, Rajasthan",Rajasthan State Road Development and Construction Corporation Ltd.,Concession Duration,31-May-2004,Not Available,15-Jun-2004,01-May-2005,18-Feb-2005,01-May-2005,18-Feb-2005,30-May-2014,Not Applicable,Not Available,,0.00,16.03,Not Available,Not Available,Not Available
